Episode,Step,Epsilon,Value,blue1,blue2,blue3
1,1000,1.0,211.9692836732082,61.77577925089348,58.05108185987665,92.14242256243807
2,1000,0.9997,213.78574104823173,68.43579654462188,65.03146057076184,80.31848393284801
3,1000,0.9994000900000001,368.8252402747141,237.654943425296,56.253190479372996,74.91710637004506
4,1000,0.999100269973,181.62565416599585,52.880065474782405,59.45312318932797,69.29246550188547
5,1000,0.9988005398920082,269.09893852336455,47.46725890607685,29.21540638800272,192.416273229285
6,1000,0.9985008997300406,208.6522239691562,48.38661199871545,86.20838469936362,74.05722727107715
7,1000,0.9982013494601216,94.49481426771555,39.1298020093415,94.20056058622525,-38.83554832785121
8,1000,0.9979018890552837,311.0973498935312,57.75244411992503,194.44545461121845,58.89945116238771
9,1000,0.9976025184885671,239.11836326985127,125.99376073335469,65.27151226972983,47.85309026676673
10,1000,0.9973032377330205,244.64580042001407,54.89854984109297,147.08438769058824,42.662862888332846
11,1000,0.9970040467617006,427.8134586997477,57.3087277677149,15.837322166277282,354.6674087657555
12,1000,0.9967049455476722,268.35199811009363,164.97530166806297,56.021790521744016,47.35490592028665
13,1000,0.9964059340640079,229.7569779898257,47.44079688892723,56.263073049739184,126.0531080511593
14,1000,0.9961070122837887,249.66648720093934,71.75126377530455,128.35475809048197,49.56046533515284
15,1000,0.9958081801801036,185.9176294689443,55.56165346156029,79.979323207391,50.37665279999301
16,1000,0.9955094377260496,206.32829254264408,57.09530211335365,73.74325025318117,75.48974017610924
17,1000,0.9952107848947318,185.01448056574142,36.43006755165229,127.04089373710765,21.543519276981478
18,1000,0.9949122216592634,-477.26798750737055,-615.9327366431327,57.28010189202772,81.38464724373446
19,1000,0.9946137479927657,219.82158875589488,48.508030170561945,55.107367678711576,116.20619090662137
20,1000,0.9943153638683679,316.19057687613804,46.05829917275971,206.51259524602602,63.619682457352326
21,1000,0.9940170692592074,185.0825663648011,71.30555673628508,38.94574793949985,74.83126168901616
22,1000,0.9937188641384297,158.05210604943932,45.69305718441371,66.55949972544961,45.79954913957599
23,1000,0.9934207484791882,272.03227031874997,52.58999209523133,72.72538627565285,146.71689194786575
24,1000,0.9931227222546445,165.4990642876129,47.34110291137734,47.11029973514333,71.04766164109222
25,1000,0.9928247854379681,190.71921016423198,58.883131752654,85.69998084992274,46.13609756165524
26,1000,0.9925269380023368,242.13458011543554,69.07209188447624,103.45861727575208,69.60387095520724
27,1000,0.9922291799209362,-224.57981015600149,-363.6121219827617,92.3075803136776,46.72473151308266
28,1000,0.9919315111669599,252.20489300421812,66.67343072856738,82.5095912704093,103.02187100524142
29,1000,0.9916339317136098,216.17789531689778,54.72635943081868,78.16935267679311,83.282183209286
30,1000,0.9913364415340957,211.83103259262612,55.23340605392503,81.57575627072865,75.02187026797246
31,1000,0.9910390406016355,319.7945979991612,155.98070494067716,57.54298337900984,106.27090967947424
32,1000,0.990741728889455,248.3013067357082,61.34250924268561,142.65949033331088,44.29930715971174
33,1000,0.9904445063707882,253.2018006584753,-79.72222995668531,194.7123203128801,138.2117103022805
34,1000,0.990147373018877,38.34010730358112,-255.3762128078031,184.84504953706102,108.87127057432322
35,1000,0.9898503288069713,289.43526368351706,48.84429326140287,99.0402113036612,141.55075911845302
36,1000,0.9895533737083293,217.6877526769543,79.96136603463857,92.32002956293994,45.40635707937575
37,1000,0.9892565076962169,163.1771585866539,44.84983696754576,46.35398434628228,71.97333727282583
38,1000,0.9889597307439081,404.8753490412062,292.57447738354773,53.29531946934903,59.00555218830948
39,1000,0.988663042824685,217.16440919354545,69.36458615827192,49.25274252845935,98.54708050681417
40,1000,0.9883664439118376,354.27150359755046,67.82923224784123,57.10909268926808,229.33317866044118
41,1000,0.988069933978664,345.79506947424284,132.3106515012827,168.61385529422324,44.87056267873683
42,1000,0.9877735129984705,216.46155510344246,115.24132531379959,50.37246069794799,50.84776909169488
43,1000,0.9874771809445709,87.51454938090535,-7.883348066307663,52.29617844059109,43.10171900662193
44,1000,0.9871809377902876,303.1266799342425,148.6034704182605,88.8377953818011,65.68541413418086
45,1000,0.9868847835089506,251.2226101189321,132.8524450133256,67.02894072162344,51.34122438398304
46,1000,0.9865887180738979,203.4721599771127,66.33836060535286,79.10671975522402,58.02707961653583
47,1000,0.9862927414584758,122.5618914252473,63.4404330573894,111.27980029019514,-52.15834192233726
48,1000,0.9859968536360383,386.56791721206764,49.752474413730994,245.0553256864921,91.7601171118446
49,1000,0.9857010545799475,186.690028305697,56.29501523609233,52.73459308951715,77.66041998008754
50,1000,0.9854053442635735,204.0014181283964,49.89390400583,89.02345273126188,65.08406139130452
51,1000,0.9851097226602945,301.9972678349774,75.90521823015236,44.46859014453777,181.62345946028725
52,1000,0.9848141897434964,213.32510321599023,50.47864952035011,57.87985606261471,104.9665976330254
53,1000,0.9845187454865735,190.17698681638825,43.55148670118457,64.62578209266458,81.9997180225391
54,1000,0.9842233898629276,267.80216448909914,81.79943401366782,44.17492937400641,141.82780110142488
55,1000,0.9839281228459688,-240.93667622004673,263.51529853333375,-503.046799168604,-1.4051755847764456
56,1000,0.983632944409115,303.68689601942805,168.44443697686015,73.51762297908506,61.72483606348283
57,1000,0.9833378545257923,245.08343162962643,57.610991090656796,107.00551201477451,80.46692852419513
58,1000,0.9830428531694345,-375.98222311769075,89.27239748436256,5.716656041877828,-470.9712766439311
59,1000,0.9827479403134837,-46.768614986806426,-12.03356007052129,72.49324165041064,-107.22829656669578
60,1000,0.9824531159313896,199.66016475924036,59.0543984422224,43.81586528658941,96.78990103042855
61,1000,0.9821583799966103,180.41641546080288,53.89573866357887,75.42183109580846,51.09884570141557
62,1000,0.9818637324826113,202.02386910417397,104.18559422658446,53.17195496991028,44.66631990767921
63,1000,0.9815691733628665,-220.29974040928067,70.46239176207291,-361.2956293872937,70.53349721594007
64,1000,0.9812747026108577,252.43585850358858,117.79583769642429,73.68629440756013,60.95372639960417
65,1000,0.9809803202000744,208.06882041422378,49.60715703557378,71.80110803655816,86.66055534209184
66,1000,0.9806860261040145,149.74683836813713,46.709521298531286,63.9473309992311,39.089986070374756
67,1000,0.9803918202961833,326.41644345779736,191.29735013244718,74.80306005423961,60.31603327111059
